,default_chances,D,Greenspace,S_urban_cluster,S_green,entropy,chi2_statistic,p_value,world
37,[0.  0.5 0.1 0.  0.1 0.  0.  0.  0. ],-1.9443426649937805,0.3594,6287,10,0.6530721948665996,790.7344,5.579354495225596e-174,"[[1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 0. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]]"
38,[0.  0.5 0.1 0.  1.  0.  0.  0.  0. ],-1.9672524576071322,0.2303,7689,6,0.5396385808425148,2909.5236,0.0,"[[0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]]"
39,[0.  0.5 0.1 0.1 0.  0.  0.  0.  0. ],-1.9286191176198375,0.4345,397,28,0.6845419688706034,171.61,3.292576613901754e-39,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 0. 0. ... 0. 0. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 0.]]"
40,[0.  0.5 0.1 0.1 0.1 0.  0.  0.  0. ],-1.945294966231908,0.3545,6326,12,0.6501878970949355,846.81,3.5898855932264032e-186,"[[1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]]"
41,[0.  0.5 0.1 0.1 1.  0.  0.  0.  0. ],-1.9694284500425998,0.217,7823,7,0.5230846523030585,3203.56,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 1. 1.]]"
42,[0.  0.5 0.1 1.  0.  0.  0.  0.  0. ],-1.9613333071533205,0.2657,7323,9,0.5789348994910827,2195.8596,0.0,"[[1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
43,[0.  0.5 0.1 1.  0.1 0.  0.  0.  0. ],-1.965121714799563,0.2431,7562,7,0.5546269684006243,2639.9044,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
44,[0.  0.5 0.1 1.  1.  0.  0.  0.  0. ],-1.9851551039964184,0.112,8880,4,0.35067649762003944,6021.76,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
45,[0.  0.5 1.  0.  0.  0.  0.  0.  0. ],-1.9516088180088054,0.3201,6755,15,0.6269448117759897,1294.5604,1.7191943144493676e-283,"[[1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [0. 1. 1. ... 1. 0. 0.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
46,[0.  0.5 1.  0.  0.1 0.  0.  0.  0. ],-1.9561013757109897,0.2962,7008,10,0.6076101055831837,1661.3776,0.0,"[[1. 0. 1. ... 0. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 0. 1.]
 ...
 [1. 1. 0. ... 1. 0. 1.]
 [0. 1. 0. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]]"
47,[0.  0.5 1.  0.  1.  0.  0.  0.  0. ],-1.9746182260352316,0.1838,8154,6,0.47710695696904354,3999.2976,0.0,"[[0. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]]"
48,[0.  0.5 1.  0.1 0.  0.  0.  0.  0. ],-1.955764191797281,0.2979,6981,11,0.6090744624830856,1633.7764,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]]"
49,[0.  0.5 1.  0.1 0.1 0.  0.  0.  0. ],-1.9593958989424713,0.2774,7210,9,0.5904809194936183,1982.0304,0.0,"[[1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 0. 1.]]"
50,[0.  0.5 1.  0.1 1.  0.  0.  0.  0. ],-1.9762912678448636,0.1728,8267,7,0.4602983078959637,4282.3936,0.0,"[[1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
51,[0.  0.5 1.  1.  0.  0.  0.  0.  0. ],-1.991840990793806,0.0632,9368,3,0.23568312700208946,7631.7696,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
52,[0.  0.5 1.  1.  0.1 0.  0.  0.  0. ],-1.9918543306408332,0.0631,9369,3,0.23541342595816395,7635.2644,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]]"
53,[0.  0.5 1.  1.  1.  0.  0.  0.  0. ],-1.998781831021849,0.0097,9903,1,0.0546184072624539,9615.7636,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
