,default_chances,D,Greenspace,S urban cluster,S_green,entropy,chi2_statistic,p_value,world
530,[0.5 0.1 0.5 0.1 0.  0.  0.  0.  0. ],-1.933482556886992,0.4114,1623,24,0.6773640484027887,313.9984,2.9391236211049646e-70,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 0.]
 [1. 1. 0. ... 0. 1. 1.]
 ...
 [1. 0. 0. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]]"
531,[0.5 0.1 0.5 0.1 0.  0.1 0.  0.  0. ],-1.9612499481292072,0.2666,7332,10,0.5798477199930832,2179.0224,0.0,"[[1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 0.]
 ...
 [0. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
532,[0.5 0.1 0.5 0.1 0.  0.5 0.  0.  0. ],-1.9674658828066067,0.2292,7704,6,0.5383078841714801,2933.3056,0.0,"[[1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
533,[0.5 0.1 0.5 0.1 0.1 0.  0.  0.  0. ],-1.9481090899489182,0.3398,6512,10,0.6409027299026369,1026.5616,3.0255644954270813e-225,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
534,[0.5 0.1 0.5 0.1 0.1 0.1 0.  0.  0. ],-1.9617091943258083,0.2639,7361,8,0.5770967945305421,2229.7284,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
535,[0.5 0.1 0.5 0.1 0.1 0.5 0.  0.  0. ],-1.9682578341772314,0.2243,7757,4,0.532296700844531,3040.4196,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
536,[0.5 0.1 0.5 0.1 0.5 0.  0.  0.  0. ],-1.9534634386685898,0.3109,6863,10,0.6198188793946642,1430.3524,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
537,[0.5 0.1 0.5 0.1 0.5 0.1 0.  0.  0. ],-1.9624033570028514,0.2598,7402,6,0.572847619452983,2307.8416,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
538,[0.5 0.1 0.5 0.1 0.5 0.5 0.  0.  0. ],-1.9695560725778225,0.2162,7837,4,0.5220561790137694,3221.6976,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
539,[0.5 0.1 0.5 0.5 0.  0.  0.  0.  0. ],-1.9391003040164227,0.3852,3837,23,0.6665524919041255,527.1616,1.1707421040280981e-116,"[[1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 ...
 [0. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]]"
540,[0.5 0.1 0.5 0.5 0.  0.1 0.  0.  0. ],-1.9602576756075074,0.2724,7276,6,0.5856313495713792,2072.0704,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
541,[0.5 0.1 0.5 0.5 0.  0.5 0.  0.  0. ],-1.966094297608115,0.2374,7625,8,0.5480643845885242,2758.3504,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 0.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
542,[0.5 0.1 0.5 0.5 0.1 0.  0.  0.  0. ],-1.9490546334635734,0.3346,6581,12,0.6373885470033518,1094.2864,5.763761712419847e-240,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 0. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]]"
